AlfaNumerico,AlfaNumerico,Fecha,Hora,AlfaNumerico,AlfaNumerico,Correo Electrónico,Telefóno,Telefóno,Telefóno,AlfaNumerico,Estatus
Clave,Folio,Fecha,Hora,Clave Partido Legado,Clave Ciudadano,Correo Electrónico,Whatsapp,Teléfono,Celular,Observaciones,Estatus
MP00006162,MP00006162,2023-02-21,00:20:44,PL007,SIC0044739,x@x.com,9999123456,9999123451,9999123452,,1
MP00006163,MP00006163,2023-02-21,00:20:44,PL007,SIC0108373,x@x.com,9999123456,9999123451,9999123452,,1
MP00006164,MP00006164,2023-02-21,00:20:44,PL007,SIC0108177,x@x.com,9999123456,9999123451,9999123452,,1
MP00006165,MP00006165,2023-02-21,00:20:44,PL007,SIC0033499,x@x.com,9999123456,9999123451,9999123452,,1
MP00006166,MP00006166,2023-02-21,00:20:44,PL007,SIC0061047,x@x.com,9999123456,9999123451,9999123452,,1
MP00006167,MP00006167,2023-02-21,00:20:44,PL007,SIC0019578,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00006168,MP00006168,2023-02-21,00:20:44,PL007,SIC0072225,x@x.com,9999123456,9999123451,9999123452,,1
MP00006170,MP00006170,2023-02-21,00:20:44,PL007,SIC0059813,x@x.com,9999123456,9999123451,9999123452,,1
MP00006171,MP00006171,2023-02-21,00:20:44,PL007,SIC0023238,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00006172,MP00006172,2023-02-21,00:20:44,PL007,SIC0114438,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00006173,MP00006173,2023-02-21,00:20:44,PL007,SIC0102976,x@x.com,9999123456,9999123451,9999123452,,1
MP00006174,MP00006174,2023-02-21,00:20:44,PL007,SIC0028435,x@x.com,9999123456,9999123451,9999123452,,1
MP00006175,MP00006175,2013-10-10,00:20:44,PL007,SIC0045447,x@x.com,9999123456,9999123451,9999123452,,1
MP00006176,MP00006176,2023-02-21,00:20:44,PL007,SIC0115483,x@x.com,9999123456,9999123451,9999123452,,1
MP00006177,MP00006177,2023-02-21,00:20:44,PL007,SIC0034104,x@x.com,9999123456,9999123451,9999123452,,1
MP00006178,MP00006178,2023-02-21,00:20:44,PL007,SIC0034233,x@x.com,9999123456,9999123451,9999123452,,1
MP00006179,MP00006179,2023-02-21,00:20:44,PL007,SIC0117919,x@x.com,9999123456,9999123451,9999123452,,1
MP00006180,MP00006180,2023-02-21,00:20:44,PL007,SIC0056162,x@x.com,9999123456,9999123451,9999123452,,1
MP00006181,MP00006181,2023-02-21,00:20:44,PL007,SIC0062184,x@x.com,9999123456,9999123451,9999123452,,1
MP00006182,MP00006182,2023-02-21,00:20:44,PL007,SIC0014303,x@x.com,9999123456,9999123451,9999123452,,1
MP00006183,MP00006183,2023-02-21,00:20:44,PL007,SIC0013083,x@x.com,9999123456,9999123451,9999123452,,1
MP00006184,MP00006184,2023-02-21,00:20:44,PL007,SIC0101586,x@x.com,9999123456,9999123451,9999123452,,1
MP00006185,MP00006185,2023-02-21,00:20:44,PL007,SIC0051491,x@x.com,9999123456,9999123451,9999123452,,1
MP00006186,MP00006186,2023-02-21,00:20:44,PL007,SIC0118928,x@x.com,9999123456,9999123451,9999123452,,1
MP00006188,MP00006188,2023-02-21,00:20:44,PL007,SIC0080536,x@x.com,9999123456,9999123451,9999123452,,1
MP00006189,MP00006189,2023-02-21,00:20:44,PL007,SIC0018937,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00006190,MP00006190,2023-02-21,00:20:44,PL007,SIC0023891,x@x.com,9999123456,9999123451,9999123452,,1
MP00006191,MP00006191,2023-02-21,00:20:44,PL007,SIC0068048,x@x.com,9999123456,9999123451,9999123452,,1
MP00006192,MP00006192,2023-02-21,00:20:44,PL007,SIC0095101,x@x.com,9999123456,9999123451,9999123452,,1
MP00006193,MP00006193,2023-02-21,00:20:44,PL007,SIC0012127,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00006194,MP00006194,2023-02-21,00:20:44,PL007,SIC0078061,x@x.com,9999123456,9999123451,9999123452,,1
MP00006195,MP00006195,2023-02-21,00:20:44,PL007,SIC0010724,x@x.com,9999123456,9999123451,9999123452,,1
MP00006197,MP00006197,2023-02-21,00:20:44,PL007,SIC0058814,x@x.com,9999123456,9999123451,9999123452,,1
MP00006198,MP00006198,2023-02-21,00:20:44,PL007,SIC0095385,x@x.com,9999123456,9999123451,9999123452,,1
MP00006199,MP00006199,2023-02-21,00:20:44,PL007,SIC0118744,x@x.com,9999123456,9999123451,9999123452,,1
MP00006200,MP00006200,2023-02-21,00:20:44,PL007,SIC0102036,x@x.com,9999123456,9999123451,9999123452,,1
MP00006201,MP00006201,2023-02-21,00:20:44,PL007,SIC0115723,x@x.com,9999123456,9999123451,9999123452,,1
MP00006202,MP00006202,2023-02-21,00:20:44,PL007,SIC0048426,x@x.com,9999123456,9999123451,9999123452,,1
MP00006203,MP00006203,2023-02-21,00:20:44,PL007,SIC0108314,x@x.com,9999123456,9999123451,9999123452,,1
MP00006204,MP00006204,2023-02-21,00:20:44,PL007,SIC0085172,x@x.com,9999123456,9999123451,9999123452,,1
MP00006205,MP00006205,2023-02-21,00:20:44,PL007,SIC0087585,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00006206,MP00006206,2023-02-21,00:20:44,PL007,SIC0064216,x@x.com,9999123456,9999123451,9999123452,,1
MP00006207,MP00006207,2023-02-21,00:20:44,PL007,SIC0023694,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00006208,MP00006208,2023-02-21,00:20:44,PL007,SIC0075562,x@x.com,9999123456,9999123451,9999123452,,1
MP00006209,MP00006209,2023-02-21,00:20:44,PL007,SIC0000254,x@x.com,9999123456,9999123451,9999123452,,1
MP00006210,MP00006210,2023-02-21,00:20:44,PL007,SIC0074561,x@x.com,9999123456,9999123451,9999123452,,1
MP00006211,MP00006211,2023-02-21,00:20:44,PL007,SIC0026819,x@x.com,9999123456,9999123451,9999123452,,1
MP00006212,MP00006212,2023-02-21,00:20:44,PL007,SIC0047725,x@x.com,9999123456,9999123451,9999123452,,1
MP00006213,MP00006213,2023-02-21,00:20:44,PL007,SIC0045799,x@x.com,9999123456,9999123451,9999123452,,1
MP00006214,MP00006214,2023-02-21,00:20:44,PL007,SIC0022279,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00006215,MP00006215,2023-03-17,00:20:44,PL007,SIC0017810,x@x.com,9999123456,9999123451,9999123452,,1
MP00006216,MP00006216,2023-03-17,00:20:44,PL007,SIC0019351,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00006217,MP00006217,2023-02-21,00:20:44,PL007,SIC0097714,x@x.com,9999123456,9999123451,9999123452,,1
MP00006218,MP00006218,2023-02-21,00:20:44,PL007,SIC0118842,x@x.com,9999123456,9999123451,9999123452,,1
MP00006219,MP00006219,2023-02-21,00:20:44,PL007,SIC0044189,x@x.com,9999123456,9999123451,9999123452,,1
MP00006220,MP00006220,2023-02-21,00:20:44,PL007,SIC0032848,x@x.com,9999123456,9999123451,9999123452,,1
MP00006221,MP00006221,2023-02-21,00:20:44,PL007,SIC0031020,x@x.com,9999123456,9999123451,9999123452,,1
MP00006222,MP00006222,2023-02-21,00:20:44,PL007,SIC0002487,x@x.com,9999123456,9999123451,9999123452,,1
MP00006223,MP00006223,2023-02-21,00:20:44,PL007,SIC0110201,x@x.com,9999123456,9999123451,9999123452,,1
MP00006224,MP00006224,2023-02-21,00:20:44,PL007,SIC0058858,x@x.com,9999123456,9999123451,9999123452,,1
