clave,folio,fecha,hora,clave_partido_legado,clave_ciudadano,correo_electronico,whatsapp,telefono,celular,obseravaciones,status
clave,folio,fecha,hora,clave_partido_legado,clave_ciudadano,correo_electronico,whatsapp,telefono,celular,obseravaciones,status
MP00000001,MP00000001,2023-09-07,13:58:27,PL011,MIL0195896,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000002,MP00000002,2023-09-07,13:58:27,PL006,MIL0127166,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000003,MP00000003,2023-09-07,13:58:27,PL008,MIL0282822,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000004,MP00000004,2023-09-07,13:58:27,PL003,MIL0369402,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000005,MP00000005,2023-09-07,13:58:27,PL007,MIL0512073,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000006,MP00000006,2023-09-07,13:58:27,PL005,MIL0427613,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000007,MP00000007,2023-09-07,13:58:27,PL006,MIL0236166,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000008,MP00000008,2023-09-07,13:58:27,PL002,MIL0139564,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000009,MP00000009,2023-09-07,13:58:27,PL005,MIL0082465,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000010,MP00000010,2023-09-07,13:58:27,PL001,MIL0537137,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000011,MP00000011,2023-09-07,13:58:27,PL010,MIL0032708,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000012,MP00000012,2023-09-07,13:58:27,PL008,MIL0126891,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000013,MP00000013,2023-09-07,13:58:27,PL012,MIL0458175,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000014,MP00000014,2023-09-07,13:58:27,PL012,MIL0573504,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000015,MP00000015,2023-09-07,13:58:27,PL007,MIL0389776,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000016,MP00000016,2023-09-07,13:58:27,PL005,MIL0200132,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000017,MP00000017,2023-09-07,13:58:27,PL009,MIL0214892,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000018,MP00000018,2023-09-07,13:58:27,PL005,MIL0513920,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000019,MP00000019,2023-09-07,13:58:27,PL006,MIL0564158,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000020,MP00000020,2023-09-07,13:58:27,PL004,MIL0049471,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000021,MP00000021,2023-09-07,13:58:27,PL011,MIL0102803,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000022,MP00000022,2023-09-07,13:58:27,PL007,MIL0075543,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000023,MP00000023,2023-09-07,13:58:27,PL002,MIL0434508,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000024,MP00000024,2023-09-07,13:58:27,PL006,MIL0429917,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000025,MP00000025,2023-09-07,13:58:27,PL003,MIL0357624,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000026,MP00000026,2023-09-07,13:58:27,PL005,MIL0218006,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000027,MP00000027,2023-09-07,13:58:27,PL007,MIL0545776,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000028,MP00000028,2023-09-07,13:58:27,PL003,MIL0165618,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000029,MP00000029,2023-09-07,13:58:27,PL007,MIL0148289,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000030,MP00000030,2023-09-07,13:58:27,PL003,MIL0040174,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000031,MP00000031,2023-09-07,13:58:27,PL004,MIL0508454,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000032,MP00000032,2023-09-07,13:58:27,PL003,MIL0377859,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000033,MP00000033,2023-09-07,13:58:27,PL007,MIL0351527,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000034,MP00000034,2023-09-07,13:58:27,PL008,MIL0157888,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000035,MP00000035,2023-09-07,13:58:27,PL002,MIL0316570,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000036,MP00000036,2023-09-07,13:58:27,PL008,MIL0424682,x@x.com,9999123456,9999123451,9999123452,1,1
MP00000037,MP00000037,2023-09-07,13:58:27,PL010,MIL0362777,x@x.com,9999123456,9999123451,9999123452,1,1
